model,split,accuracy,precision,recall,f1,auc
Random Forest Multiclass,val,0.9989680492161143,0.9752931823147092,0.9529861337398721,0.9636508359955108,0.9999840839591936
Random Forest Multiclass,test,0.7369144783534421,0.7708177900634312,0.4730567207232558,0.4770793896251315,0.9232926417052312
Boosting Multiclass,val,0.9989680492161143,0.9089996275009058,0.9762965693349024,0.934859572995428,0.9999602962554291
Boosting Multiclass,test,0.7669002838892832,0.8105256216824632,0.5670949378106576,0.6006106120821746,0.9219263377578502
